,roundNum,tick,hp,armor,activeWeapon,isBlinded,isAirborne,isDucking,isStanding,isScoped,isWalking,equipmentValue,cash,hasHelmet,kills_from_avg,deaths_from_avg,total_hp_enemy,total_hp_team,num_enemy_alive,num_team_alive,enemy_in_range_200,enemy_in_range_500,enemy_in_range_1000,enemy_in_range_2000,enemy_hp_in_range_500,enemy_hp_in_range_1000,enemy_hp_in_range_2000,enemy_equipment_in_range_500,enemy_equipment_in_range_1000,enemy_equipment_in_range_2000,team_in_range_200,team_in_range_500,team_in_range_1000,equipment_value_team,equipment_value_enemy,distance_closest_enemy,hp_closest_enemy,weapon_closest_enemy,isAlive,isDead,Player
16,1,2048,100,0,2,0,0,1,False,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3800,4250,2175.47707386567,100,2,1,0.0,1
17,1,2176,100,0,2,0,0,1,False,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,3800,4250,2063.1468289108293,100,2,1,0.0,1
18,1,2304,100,0,2,0,0,1,False,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,1,0.0,0.0,100.0,0.0,0.0,850.0,1,1,2,3800,4250,1978.185170556531,100,2,1,0.0,1
19,1,2432,100,0,2,0,0,1,False,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,2,0.0,0.0,100.0,0.0,0.0,775.0,1,1,2,3800,4250,1949.371920888497,100,2,1,0.0,1
20,1,2560,100,0,2,0,0,1,False,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,2,0.0,0.0,100.0,0.0,0.0,775.0,1,1,2,3800,4250,1917.0785574900292,100,2,1,0.0,1
21,1,2688,100,0,2,0,0,0,True,0,1,900,100,0,0.0,0.0,500,500,5,5,0,0,0,5,0.0,0.0,100.0,0.0,0.0,850.0,1,1,2,3800,4250,1832.693317157106,100,2,1,0.0,1
22,1,2816,100,0,2,0,0,0,True,0,1,900,100,0,0.0,0.0,500,500,5,5,0,0,0,5,0.0,0.0,100.0,0.0,0.0,850.0,1,1,2,3800,4250,1718.01076924633,100,2,1,0.0,1
23,1,2944,100,0,2,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,5,0.0,0.0,100.0,0.0,0.0,850.0,1,1,2,3800,4250,1632.0313799925648,100,2,1,0.0,1
24,1,3072,100,0,2,0,0,0,True,0,1,900,100,0,0.0,0.0,500,500,5,5,0,0,0,5,0.0,0.0,100.0,0.0,0.0,850.0,1,1,2,3800,4250,1514.6707968188039,100,2,1,0.0,1
25,1,3200,100,0,5,0,0,0,True,0,1,900,100,0,0.0,0.0,500,500,5,5,0,0,0,5,0.0,0.0,100.0,0.0,0.0,850.0,1,1,2,3800,4250,1469.6485899309157,100,2,1,0.0,1
26,1,3328,100,0,5,0,0,0,True,0,1,900,100,0,0.0,0.0,500,500,5,5,0,0,0,5,0.0,0.0,100.0,0.0,0.0,850.0,1,1,2,3800,4250,1386.489495269686,100,2,1,0.0,1
27,1,3456,100,0,5,0,0,0,True,0,1,900,100,0,0.0,0.0,500,500,5,5,0,0,0,5,0.0,0.0,100.0,0.0,0.0,850.0,1,1,2,3800,4250,1368.513680327389,100,2,1,0.0,1
28,1,3584,100,0,5,0,0,0,True,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,5,0.0,0.0,100.0,0.0,0.0,850.0,1,1,2,3800,4250,1290.1064755821274,100,2,1,0.0,1
29,1,3712,100,0,2,0,1,1,False,0,0,900,100,0,0.0,0.0,500,500,5,5,0,0,0,5,0.0,0.0,100.0,0.0,0.0,850.0,1,1,2,3800,4250,1134.3871810564162,100,2,1,0.0,1
30,1,3840,100,0,2,0,0,0,True,0,0,900,100,0,-0.31622776601683794,-0.31622776601683794,400,500,4,5,0,0,0,4,0.0,0.0,100.0,0.0,0.0,850.0,1,1,2,3800,3400,1078.1369540110975,100,2,1,0.0,1
31,1,3968,100,0,5,0,1,0,True,0,0,900,100,0,-0.31622776601683794,-0.31622776601683794,400,500,4,5,0,0,2,4,0.0,100.0,100.0,0.0,925.0,850.0,1,2,2,3800,3400,873.8639489298562,100,2,1,0.0,1
32,1,4096,100,0,2,0,0,0,True,0,0,900,100,0,-0.31622776601683794,-0.31622776601683794,400,500,4,5,0,0,3,4,0.0,100.0,100.0,0.0,900.0,850.0,1,2,3,3800,3400,659.0815522510425,100,2,1,0.0,1
33,1,4224,100,0,2,0,0,0,True,0,0,900,100,0,1.8973665961010275,-0.4743416490252569,400,500,4,5,0,0,3,4,0.0,100.0,100.0,0.0,900.0,850.0,1,1,3,3800,3400,664.3721211895321,100,2,1,0.0,1
34,1,4352,100,0,2,0,1,0,True,0,0,900,400,0,1.8973665961010275,-0.4743416490252569,299,500,3,5,0,0,2,3,0.0,99.5,99.66666666666667,0.0,900.0,833.3333333333334,1,1,3,3800,2500,804.3123146159131,100,4,1,0.0,1
35,1,4480,100,0,2,0,0,0,True,0,0,900,400,0,1.8973665961010275,-0.4743416490252569,299,500,3,5,0,0,3,3,0.0,99.66666666666667,99.66666666666667,0.0,833.3333333333334,833.3333333333334,1,1,2,3800,2500,596.2876530643742,100,4,1,0.0,1
36,1,4608,100,0,2,0,0,0,True,0,0,900,400,0,1.8973665961010275,-0.4743416490252569,299,500,3,5,0,1,3,3,100.0,99.66666666666667,99.66666666666667,950.0,833.3333333333334,833.3333333333334,1,1,2,3800,2500,409.4876247086848,100,4,1,0.0,1
